Date,Johor,Kedah,Kelantan,Kuala Lumpur,Labuan,Malacca,Negeri Sembilan,Pahang,Penang,Perak,Perlis,Putrajaya,Sabah,Sarawak,Selangor,Terengganu
20-Jul,14,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0
21-Jul,0,0,0,1,0,0,0,0,0,0,0,0,1,11,2,0
22-Jul,1,0,0,2,0,0,0,0,0,1,0,0,0,9,3,0
23-Jul,1,0,1,1,0,0,0,1,0,0,0,0,1,4,0,0
24-Jul,2,0,0,3,0,0,0,3,0,1,0,0,0,9,3,0
25-Jul,10,0,0,1,1,0,0,0,0,0,0,0,0,8,3,0
26-Jul,7,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0
27-Jul,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0
28-Jul,0,6,0,4,1,0,0,0,0,0,0,0,3,25,0,0
29-Jul,1,0,0,6,0,0,0,0,0,0,1,0,1,2,2,0
30-Jul,1,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0
31-Jul,3,2,0,3,0,0,1,0,0,0,0,0,1,1,1,0
1-Aug,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0
2-Aug,0,11,0,0,0,0,0,0,0,0,0,0,2,0,1,0
3-Aug,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4-Aug,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5-Aug,1,3,0,15,0,0,0,0,0,0,0,0,2,0,0,0
6-Aug,0,6,0,2,1,0,2,0,0,0,0,0,4,0,0,0
7-Aug,1,1,0,3,0,0,0,0,1,2,10,0,4,1,2,0
8-Aug,0,0,0,3,1,0,1,0,0,0,0,0,0,1,1,0
9-Aug,0,0,0,7,0,0,0,0,3,0,0,1,0,1,1,0
10-Aug,2,0,0,1,0,1,0,0,0,3,0,0,0,0,4,0
11-Aug,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
12-Aug,2,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0
13-Aug,0,9,0,3,0,0,0,0,0,0,0,0,0,0,3,0
14-Aug,0,12,0,4,0,0,0,0,1,0,0,0,0,1,2,0
15-Aug,1,14,0,6,0,0,2,0,2,0,1,0,0,0,0,0
16-Aug,0,5,0,13,0,0,0,0,1,0,0,0,1,0,5,0
17-Aug,0,6,0,2,0,0,0,0,3,0,0,0,0,0,1,0
18-Aug,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
19-Aug,1,7,0,3,1,0,0,0,4,0,0,0,0,0,0,0
20-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
21-Aug,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0
22-Aug,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0
23-Aug,0,2,0,3,0,0,0,0,0,0,0,0,0,3,2,0
24-Aug,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
25-Aug,0,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0
26-Aug,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27-Aug,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
28-Aug,0,1,0,5,0,0,0,0,0,0,0,0,0,1,3,0
29-Aug,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0
30-Aug,0,1,0,14,0,0,0,0,0,0,0,0,0,1,1,0
31-Aug,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1-Sep,0,2,0,0,0,0,0,0,0,0,0,0,9,0,3,0
2-Sep,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0
3-Sep,1,4,0,1,0,0,2,0,0,0,0,0,6,0,0,0
4-Sep,0,1,0,7,0,0,1,0,0,0,0,0,0,0,2,0
5-Sep,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0
6-Sep,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0
7-Sep,0,4,0,4,0,0,0,0,1,0,0,0,51,0,2,0
8-Sep,0,22,0,5,0,0,1,0,0,0,1,0,62,0,9,0
9-Sep,0,16,0,1,0,0,1,0,0,0,0,0,4,1,1,0
10-Sep,0,4,0,0,0,0,0,0,0,0,0,0,40,0,1,0
11-Sep,0,14,0,0,0,0,0,0,0,0,0,0,167,0,1,0
12-Sep,0,5,0,2,0,0,0,0,0,0,0,0,49,0,2,0
13-Sep,0,14,0,1,0,0,0,0,0,0,0,0,31,0,1,0
14-Sep,0,1,0,1,0,0,4,0,0,0,0,0,25,0,0,0
15-Sep,0,0,0,5,0,0,0,0,0,0,0,0,13,0,5,0
16-Sep,0,1,0,0,0,0,0,0,1,0,0,0,60,0,0,0
17-Sep,0,7,0,0,0,0,0,0,2,0,0,0,8,1,3,0
18-Sep,0,0,0,0,0,0,1,0,0,0,0,0,91,0,3,0
19-Sep,0,9,0,2,0,0,0,0,0,0,0,0,8,0,1,0
20-Sep,0,3,0,6,2,0,0,0,1,0,0,0,36,0,4,0
21-Sep,0,1,0,3,0,0,0,0,0,0,0,0,49,0,4,0
22-Sep,0,10,0,9,0,0,0,0,0,0,0,0,60,2,1,0
23-Sep,0,5,1,5,0,0,0,0,0,0,0,0,134,0,2,0
24-Sep,1,4,0,0,0,0,0,0,0,0,0,0,63,0,3,0
25-Sep,1,8,0,2,0,0,0,1,0,0,0,0,97,0,2,0
26-Sep,1,0,0,6,1,1,3,1,0,0,0,0,64,1,2,2
27-Sep,2,0,0,6,0,1,0,4,0,0,0,0,124,2,11,0
28-Sep,0,1,0,1,1,1,1,0,0,0,0,0,98,0,11,1
29-Sep,2,1,1,1,0,1,0,0,1,1,1,1,73,3,15,0
30-Sep,8,13,2,6,1,0,1,2,1,1,2,0,35,4,10,3
1-Oct,5,98,0,14,0,1,0,1,1,0,2,5,118,0,13,2
2-Oct,1,129,2,1,1,0,2,1,0,3,0,0,113,0,31,3
3-Oct,4,102,2,4,0,0,1,0,3,0,0,2,155,3,32,9
4-Oct,8,113,1,3,5,0,2,0,1,2,0,0,126,1,31,0
5-Oct,2,241,1,7,4,1,1,1,0,2,0,2,130,1,34,5
6-Oct,6,397,0,6,1,0,7,0,3,8,0,1,219,3,39,1
7-Oct,6,153,1,4,0,0,1,2,7,4,0,2,282,3,20,4
8-Oct,5,16,0,12,10,1,2,1,1,5,0,2,271,8,36,5
9-Oct,5,10,0,10,1,0,4,0,8,1,0,2,274,10,24,5
10-Oct,2,27,0,6,2,1,0,0,3,2,0,1,277,9,44,0
11-Oct,3,16,0,15,5,3,0,0,1,1,0,0,488,0,26,3
12-Oct,2,10,0,28,2,1,12,0,141,4,0,2,291,1,69,0
13-Oct,10,60,0,10,19,0,2,1,23,16,0,0,443,0,76,0
14-Oct,3,113,0,12,8,2,1,0,17,3,0,1,429,3,68,0
15-Oct,0,31,2,10,6,2,11,0,16,52,0,1,304,4,150,0
16-Oct,5,7,0,10,19,3,1,1,33,9,0,2,489,0,50,0
17-Oct,2,38,0,15,0,1,1,0,189,4,0,2,451,4,159,3
18-Oct,1,9,0,7,9,1,3,0,45,10,0,0,702,5,77,2
19-Oct,2,3,0,7,34,16,4,1,26,18,0,3,643,0,107,1
20-Oct,1,17,1,7,6,0,6,0,8,9,0,1,673,1,132,0
21-Oct,0,7,1,26,9,3,9,1,12,7,0,6,535,0,116,0
22-Oct,1,3,3,23,29,3,38,2,10,14,0,4,578,1,137,1
23-Oct,4,1,0,11,19,0,37,1,39,4,0,0,528,2,62,2
24-Oct,7,76,0,19,21,3,96,0,23,10,0,0,889,8,76,0
25-Oct,15,1,1,10,26,0,22,0,97,6,0,1,533,16,88,7
26-Oct,4,3,0,17,6,2,25,0,61,8,0,0,927,7,177,3
27-Oct,8,4,0,11,76,0,155,0,13,11,0,1,410,16,126,4
28-Oct,8,28,0,14,29,0,24,0,19,6,0,0,546,27,89,11
29-Oct,10,37,0,23,17,1,43,1,13,5,0,1,352,10,135,1
30-Oct,9,5,0,19,65,0,23,0,35,10,0,1,466,16,150,0
31-Oct,0,2,1,11,12,0,25,1,2,6,0,4,529,9,55,2
1-Nov,1,1,0,4,18,1,8,0,23,5,0,1,644,11,225,15
2-Nov,9,3,2,22,105,0,16,1,21,3,0,6,503,14,129,0
3-Nov,1,12,0,22,81,1,71,0,35,3,0,3,678,21,125,1
4-Nov,2,25,2,9,28,0,44,0,23,6,0,4,646,9,231,3
5-Nov,2,7,0,17,95,5,90,0,36,6,0,1,564,6,180,0
6-Nov,4,19,0,18,59,2,45,0,192,18,0,9,1199,18,164,8
7-Nov,5,15,0,28,104,2,68,0,18,37,0,0,616,25,247,3
8-Nov,1,3,2,11,24,5,104,0,18,7,0,2,524,2,148,1
9-Nov,10,8,2,22,63,5,260,0,34,51,0,5,370,4,138,0
10-Nov,8,3,9,19,8,0,141,0,27,12,0,3,397,6,236,0
11-Nov,10,17,1,21,46,6,225,0,26,14,2,3,259,14,178,0
12-Nov,8,3,2,49,35,8,240,0,63,9,0,1,319,8,174,0
13-Nov,3,5,5,202,4,13,83,0,42,13,0,1,556,13,364,0
14-Nov,15,10,5,13,8,6,371,0,34,53,0,4,391,4,200,0
15-Nov,9,8,1,475,30,2,48,0,42,21,1,1,381,4,185,0
16-Nov,8,10,7,392,8,1,90,0,26,116,0,1,288,1,151,4
17-Nov,14,8,19,245,1,2,67,0,33,47,0,2,499,1,271,1
18-Nov,3,11,3,31,13,4,31,0,16,16,0,1,387,3,141,0
19-Nov,15,7,17,72,15,1,32,0,8,48,0,0,660,8,407,0
20-Nov,9,19,7,46,1,2,153,0,25,24,0,1,512,2,153,4
21-Nov,33,6,7,68,12,0,121,0,17,29,0,0,346,0,402,0
22-Nov,9,16,8,30,13,5,29,0,15,55,1,1,311,0,603,0
23-Nov,15,36,9,196,0,0,41,0,12,81,1,1,289,0,1203,0
24-Nov,19,14,6,90,1,2,73,0,15,112,0,0,232,1,1623,0
25-Nov,30,24,8,44,37,1,318,2,14,80,0,1,293,2,115,1
26-Nov,60,24,28,59,13,0,158,0,17,79,0,5,326,4,161,1
27-Nov,33,25,5,154,0,0,167,3,64,42,0,0,441,0,175,0
28-Nov,46,17,18,191,0,1,41,0,92,167,0,0,476,0,266,0
29-Nov,37,52,6,493,35,1,32,1,46,77,0,0,290,0,238,1
30-Nov,54,31,1,119,30,0,141,2,60,43,0,1,326,2,402,0
